name,position,team,ecr_1qb,ecr_2qb,value_1qb,value_2qb,source_date
Roschon Johnson,RB,CHI,354.7,339.5,3,4,2026-08-14
Robert Henry Jr.,RB,WAS,355,333.6,3,4,2026-08-14
Dallen Bentley,TE,DEN,355.1,341.2,2,3,2026-08-14
Gardner Minshew II,QB,ARI,355.2,352.1,2,3,2026-08-14
Josh Cameron,WR,JAC,355.4,317.3,2,6,2026-08-14
KeAndre Lambert-Smith,WR,LAC,355.7,322.4,2,5,2026-08-14
Nick Chubb,RB,FA,355.7,337.8,2,4,2026-08-14
Ja'Lynn Polk,WR,FA,356.6,342.4,2,3,2026-08-14
Jahan Dotson,WR,ATL,356.8,329.4,2,5,2026-08-14
Bam Knight,RB,ARI,357,341.8,2,3,2026-08-14
Dyami Brown,WR,WAS,357.5,346.2,2,3,2026-08-14
Kendrick Bourne,WR,ARI,357.7,336.2,2,4,2026-08-14
Barion Brown,WR,NO,358,332.4,2,4,2026-08-14
Kenny Pickett,QB,CAR,358.4,355.3,2,2,2026-08-14
Devontez Walker,WR,BAL,358.8,345.2,2,3,2026-08-14
Jeff Caldwell,WR,KC,359.3,341.3,2,3,2026-08-14
Dameon Pierce,RB,PHI,359.4,344.2,2,3,2026-08-14
Terion Stewart,RB,KC,359.7,344.5,2,3,2026-08-14
Raheim Sanders,RB,CLE,359.7,344.5,2,3,2026-08-14
Desmond Reid,RB,FA,359.7,344.5,2,3,2026-08-14
Dae'Quan Wright,TE,CLE,359.9,347.4,2,3,2026-08-14
Brandon Polk,WR,FA,360.1,345.9,2,3,2026-08-14
Jaydn Ott,RB,KC,360.2,345,2,3,2026-08-14
Zach Wilson,QB,NO,360.2,357.1,2,2,2026-08-14
Nate Boerkircher,TE,JAC,360.3,346.4,2,3,2026-08-14
Jimmy Garoppolo,QB,LAR,360.4,357.3,2,2,2026-08-14
Aidan O'Connell,QB,LV,360.7,357.6,2,2,2026-08-14
Tai Felton,WR,MIN,360.8,334.2,2,4,2026-08-14
KaVontae Turpin,WR,DAL,360.8,334.4,2,4,2026-08-14
Tyrod Taylor,QB,GB,360.8,357.7,2,2,2026-08-14
Tyler Conklin,TE,DET,360.9,324,2,5,2026-08-14
Cade Stover,TE,HOU,361.4,347.5,2,3,2026-08-14
