name,team,position,rank,projection,proj_3yr,trade_value,source_date
D Wicks,PHI,WR,196.0,116.0,395.0,5.0,2026-08-18
B Robinson Jr.,ATL,RB,197.0,100.0,305.0,5.0,2026-08-18
T Tucker,LV,WR,198.0,149.0,399.0,5.0,2026-08-18
J Blue,DAL,RB,199.0,88.0,246.0,5.0,2026-08-18
C Otton,TB,TE,200.0,135.0,341.0,4.0,2026-08-18
E Johnson,KC,RB,201.0,82.0,267.0,4.0,2026-08-18
C Brazzell II,CAR,WR,202.0,0.0,418.0,4.0,2026-08-18
K Mitchell,LAC,RB,203.0,107.0,266.0,4.0,2026-08-18
J Jennings,MIN,WR,204.0,130.0,419.0,4.0,2026-08-18
T Hockenson,MIN,TE,205.0,147.0,334.0,4.0,2026-08-18
D Allar,PIT,QB,206.0,15.0,448.0,4.0,2026-08-18
G Smith,NYJ,QB,207.0,234.0,418.0,4.0,2026-08-18
R Flournoy,DAL,WR,208.0,115.0,417.0,4.0,2026-08-18
K Allen,WAS,RB,209.0,65.0,250.0,4.0,2026-08-18
C Beck,ARI,QB,210.0,56.0,473.0,4.0,2026-08-18
T Bigsby,PHI,RB,211.0,60.0,277.0,4.0,2026-08-18
D Sampson,CLE,RB,212.0,126.0,230.0,3.0,2026-08-18
I Pacheco,DET,RB,213.0,116.0,229.0,3.0,2026-08-18
D Njoku,LAC,TE,214.0,86.0,336.0,3.0,2026-08-18
B Thompson,LAC,WR,215.0,58.0,400.0,3.0,2026-08-18
A Mitchell,NYJ,WR,216.0,141.0,381.0,3.0,2026-08-18
L Allen,JAX,RB,217.0,70.0,245.0,3.0,2026-08-18
B Lance,NO,WR,218.0,61.0,399.0,3.0,2026-08-18
O Gordon II,MIA,RB,219.0,44.0,253.0,3.0,2026-08-18
T Horton,SEA,WR,220.0,77.0,390.0,3.0,2026-08-18
M Benson,LV,WR,221.0,73.0,392.0,3.0,2026-08-18
C Klubnik,NYJ,QB,222.0,28.0,430.0,3.0,2026-08-18
E Sarratt,BAL,WR,223.0,79.0,381.0,2.0,2026-08-18
I TeSlaa,DET,WR,224.0,93.0,372.0,2.0,2026-08-18
T Benson,ARI,RB,225.0,64.0,245.0,2.0,2026-08-18
T Johnson,NYG,TE,226.0,58.0,331.0,2.0,2026-08-18
S Bell,BUF,WR,227.0,45.0,396.0,2.0,2026-08-18
Z Thomas,CHI,WR,228.0,69.0,379.0,2.0,2026-08-18
S McGowan,IND,RB,229.0,43.0,238.0,2.0,2026-08-18
J Wright,MIA,RB,230.0,52.0,232.0,2.0,2026-08-18
A Randall,BAL,RB,231.0,43.0,231.0,2.0,2026-08-18
D Samuel,SF,WR,232.0,174.0,413.0,1.0,2026-08-18
J Milroe,SEA,QB,233.0,0.0,369.0,1.0,2026-08-18
B Brown,NO,WR,234.0,44.0,384.0,1.0,2026-08-18
