name,team,position,rank,projection,proj_3yr,trade_value,source_date
K Allen,WAS,RB,222.0,59.0,204.0,1.0,2026-08-18
O Gordon II,MIA,RB,223.0,40.0,214.0,1.0,2026-08-18
M Lloyd,GB,RB,224.0,75.0,215.0,1.0,2026-08-18
M Washington Jr.,LV,RB,225.0,65.0,200.0,1.0,2026-08-18
J Royals,KC,WR,226.0,34.0,225.0,0.0,2026-08-18
D Douglas,NE,WR,227.0,57.0,226.0,0.0,2026-08-18
T Koziol,JAX,TE,228.0,21.0,144.0,0.0,2026-08-18
C Kolar,LAC,TE,229.0,54.0,138.0,0.0,2026-08-18
N Boerkircher,JAX,TE,230.0,27.0,152.0,0.0,2026-08-18
K Coleman Jr.,MIA,WR,231.0,20.0,226.0,0.0,2026-08-18
I Pacheco,DET,RB,232.0,99.0,187.0,0.0,2026-08-18
C Dike,TEN,WR,233.0,35.0,225.0,0.0,2026-08-18
E Johnson,KC,RB,,,,,2026-08-18
D Waller,CAR,TE,,,,,2026-08-18
J Wright,MIA,RB,,,,,2026-08-18
K Mitchell,LAC,RB,,,,,2026-08-18
S Roush,CHI,TE,,,,,2026-08-18
N Dell,HOU,WR,,,,,2026-08-18
M Brown,PHI,WR,,,,,2026-08-18
C Kmet,CHI,TE,,,,,2026-08-18
J Lane,WAS,WR,,,,,2026-08-18
T Benson,ARI,RB,,,,,2026-08-18
M Taylor,NYJ,TE,,,,,2026-08-18
S Bell,BUF,WR,,,,,2026-08-18
R Virgil,ARI,WR,,,,,2026-08-18
C Tillman,CLE,WR,,,,,2026-08-18
J Sanders,CAR,TE,,,,,2026-08-18
N Fant,NO,TE,,,,,2026-08-18
R White,WAS,RB,,,,,2026-08-18
