name,team,position,rank,projection,proj_3yr,trade_value,source_date
J Bech,LV,WR,195.0,53.0,260.0,5.0,2026-08-18
T Horton,SEA,WR,196.0,52.0,254.0,5.0,2026-08-18
T Spears,TEN,RB,197.0,108.0,225.0,4.0,2026-08-18
C Rodriguez,JAX,RB,198.0,100.0,231.0,4.0,2026-08-18
E Raridon,NE,TE,199.0,36.0,170.0,4.0,2026-08-18
M Washington,MIA,WR,200.0,61.0,254.0,4.0,2026-08-18
M Klare,LAR,TE,201.0,34.0,182.0,4.0,2026-08-18
B Aiyuk,FA,WR,202.0,66.0,257.0,4.0,2026-08-18
B Lance,NO,WR,203.0,40.0,253.0,4.0,2026-08-18
I TeSlaa,DET,WR,204.0,64.0,238.0,4.0,2026-08-18
G Dulcich,MIA,TE,205.0,67.0,177.0,3.0,2026-08-18
K Coleman,BUF,WR,206.0,64.0,239.0,3.0,2026-08-18
B Brown,NO,WR,207.0,28.0,251.0,3.0,2026-08-18
M Mims Jr.,DEN,WR,208.0,61.0,239.0,3.0,2026-08-18
D Samuel,SF,WR,209.0,115.0,264.0,3.0,2026-08-18
E Engram,DEN,TE,210.0,59.0,183.0,3.0,2026-08-18
M Benson,LV,WR,211.0,48.0,241.0,3.0,2026-08-18
O Delp,NO,TE,212.0,30.0,170.0,3.0,2026-08-18
J Nailor,LV,WR,213.0,87.0,241.0,3.0,2026-08-18
M Gesicki,CIN,TE,214.0,64.0,176.0,2.0,2026-08-18
N Singleton,TEN,RB,215.0,51.0,224.0,2.0,2026-08-18
J Joly,DEN,TE,216.0,27.0,165.0,2.0,2026-08-18
T Allgeier,ARI,RB,217.0,91.0,212.0,2.0,2026-08-18
C Parkinson,LAR,TE,218.0,66.0,164.0,2.0,2026-08-18
T Bigsby,PHI,RB,219.0,54.0,243.0,2.0,2026-08-18
A Jones,MIN,RB,220.0,105.0,214.0,2.0,2026-08-18
B Robinson Jr.,ATL,RB,221.0,88.0,255.0,2.0,2026-08-18
D Washington,PIT,TE,222.0,60.0,160.0,2.0,2026-08-18
T Tracy Jr.,NYG,RB,223.0,91.0,240.0,2.0,2026-08-18
J McCarthy,MIN,QB,224.0,33.0,496.0,2.0,2026-08-18
J Brissett,ARI,QB,225.0,204.0,545.0,2.0,2026-08-18
M Klein,HOU,TE,226.0,20.0,163.0,2.0,2026-08-18
K Black,SF,RB,227.0,44.0,240.0,1.0,2026-08-18
K Allen,WAS,RB,228.0,59.0,204.0,1.0,2026-08-18
M Lloyd,GB,RB,229.0,75.0,215.0,1.0,2026-08-18
M Washington Jr.,LV,RB,230.0,65.0,200.0,1.0,2026-08-18
O Gordon II,MIA,RB,231.0,40.0,214.0,1.0,2026-08-18
